  0.1163200E+08   0.4001550E+49   0.3608550E+49 7000
  0.1069100E+08   0.3910280E+49   0.3566170E+49 7020
  0.1004300E+08   0.4103740E+49   0.3765200E+49 7030
  0.8980100E+07   0.5438200E+49   0.5000480E+49 7050
  0.8760500E+07   0.6627140E+49   0.6065800E+49 7070
  0.8664300E+07   0.7145280E+49   0.6520870E+49 7080
  0.8490900E+07   0.7919420E+49   0.7190160E+49 7100
  0.8165900E+07   0.8943720E+49   0.8063400E+49 7120
  0.7585700E+07   0.9771610E+49   0.8820600E+49 7130
  0.6343200E+07   0.1140680E+50   0.1040030E+50 7150
  0.5523600E+07   0.1247210E+50   0.1152050E+50 7170
  0.5224800E+07   0.1257320E+50   0.1168330E+50 7180
  0.4778500E+07   0.1210670E+50   0.1133670E+50 7200
  0.4415000E+07   0.1119300E+50   0.1050990E+50 7220
  0.4236500E+07   0.1081850E+50   0.1016870E+50 7230
  0.3844700E+07   0.1062880E+50   0.1004070E+50 7250
  0.3573300E+07   0.9290110E+49   0.8856140E+49 7270
  0.3529300E+07   0.9180430E+49   0.8858460E+49 7280
  0.3225700E+07   0.1009360E+50   0.1004110E+50 7300
  0.2956500E+07   0.1012200E+50   0.9971310E+49 7320
  0.2831700E+07   0.1030950E+50   0.1011190E+50 7330
  0.2572800E+07   0.1097710E+50   0.1070890E+50 7350
  0.2378200E+07   0.1073000E+50   0.1022230E+50 7370
  0.2237100E+07   0.1124360E+50   0.1060700E+50 7380
  0.1984000E+07   0.1287570E+50   0.1229660E+50 7400
  0.1784700E+07   0.1485510E+50   0.1436260E+50 7420
  0.1691900E+07   0.1614600E+50   0.1570790E+50 7430
  0.1505600E+07   0.1915600E+50   0.1883500E+50 7450
  0.1285800E+07   0.2260990E+50   0.2235070E+50 7470
  0.1193700E+07   0.2549240E+50   0.2535300E+50 7480
  0.1098400E+07   0.2935540E+50   0.2922890E+50 7500
  0.1084200E+07   0.3220740E+50   0.3206820E+50 7520
  0.1071900E+07   0.3491400E+50   0.3482310E+50 7530
  0.1041400E+07   0.3945600E+50   0.3944580E+50 7550
  0.9484200E+06   0.4038570E+50   0.4066020E+50 7570
  0.9185600E+06   0.3941000E+50   0.3964610E+50 7580
  0.8589600E+06   0.3979690E+50   0.4019130E+50 7600
  0.7997100E+06   0.4227680E+50   0.4302600E+50 7620
  0.7695800E+06   0.4417610E+50   0.4521670E+50 7630
  0.7160200E+06   0.4562900E+50   0.4445420E+50 7650
  0.7119900E+06   0.3753140E+50   0.3849370E+50 7680
  0.7105900E+06   0.3402770E+50   0.3698350E+50 7700
  0.7039600E+06   0.3134480E+50   0.3607410E+50 7750
  0.6847600E+06   0.3100820E+50   0.3605900E+50 7780
  0.6319600E+06   0.3265880E+50   0.3824160E+50 7800
  0.2518500E+06   0.7362030E+50   0.9132280E+50 7850
  0.1118600E+06   0.1600650E+51   0.2125950E+51 7900
  0.9514300E+05   0.1638630E+51   0.2189030E+51 7950
  0.8010000E+05   0.1849740E+51   0.2507220E+51 8000
  0.6825700E+05   0.2247190E+51   0.3106380E+51 8050
  0.6273700E+05   0.2607090E+51   0.3652790E+51 8080
  0.5960200E+05   0.2903390E+51   0.4112990E+51 8100
  0.5420600E+05   0.3047340E+51   0.4224970E+51 8150
  0.5275100E+05   0.2641980E+51   0.3495020E+51 8180
  0.5169600E+05   0.2428760E+51   0.3134800E+51 8200
  0.4041800E+05   0.2153070E+51   0.2598740E+51 8250
  0.2754700E+05   0.2471480E+51   0.2942850E+51 8280
  0.2087800E+05   0.2756460E+51   0.3281220E+51 8300
  0.1101000E+05   0.4016110E+51   0.4909790E+51 8350
  0.7959100E+04   0.5219750E+51   0.6568720E+51 8380
  0.6619700E+04   0.6149510E+51   0.7916980E+51 8400
  0.3680100E+04   0.1173060E+52   0.1644280E+52 8480
  0.3492400E+04   0.1101260E+52   0.1519950E+52 8500
  0.1847100E+04   0.1337620E+52   0.1869420E+52 8550
  0.1000500E+04   0.1780040E+52   0.2596230E+52 8580
  0.6899600E+03   0.2118890E+52   0.3173490E+52 8600
  0.2740000E+03   0.5440531E+52   0.9108231E+52 8650
  0.1645600E+03   0.8435100E+52   0.1473821E+53 8680
  0.1212600E+03   0.1080580E+53   0.1927106E+53 8700
  0.9284300E+02   0.1365341E+53   0.2481121E+53 8750
  0.7927300E+02   0.1557114E+53   0.2858025E+53 8780
  0.7093600E+02   0.1698609E+53   0.3138440E+53 8800
  0.5344300E+02   0.2104035E+53   0.3950856E+53 8850
  0.3985000E+02   0.2582578E+53   0.4924077E+53 8900
  0.2954300E+02   0.3135320E+53   0.6050894E+53 8950
  0.2251700E+02   0.3801486E+53   0.7453665E+53 9000
  0.1729900E+02   0.4464084E+53   0.8901767E+53 9050
  0.1314800E+02   0.5254221E+53   0.1062800E+54 9100
  0.9943600E+01   0.6114034E+53   0.1255674E+54 9150
  0.7599300E+01   0.7015410E+53   0.1463481E+54 9200
  0.5787600E+01   0.8099254E+53   0.1719276E+54 9250
  0.4384500E+01   0.9262728E+53   0.2004720E+54 9300
  0.3294700E+01   0.1042924E+54   0.2298391E+54 9350
  0.2446400E+01   0.1166297E+54   0.2618073E+54 9400
  0.1792800E+01   0.1295363E+54   0.2966082E+54 9450
  0.1288800E+01   0.1429268E+54   0.3337912E+54 9500
  0.8994200E+00   0.1534148E+54   0.3653277E+54 9550
  0.5997900E+00   0.1662822E+54   0.4031509E+54 9600
